Value,Model Corrected Name,Time Taken
PTVHD-7000,PTV_High,78.3085548877716
Trachea_Bronch,Trachea,83.95761346817017
PTV^n_Low,PTVn_Lung_LLL_Low,113.10182547569275
gtv-65,GTV,84.89256453514099
CTVAdrenal_L,CTV_Kidney_L,81.38154029846191
PRV_OpticNrvR_3mm,OpticNrv_PRV_R,76.15194916725159
Skin^PRV_7mm,PTV_Skin,133.94498372077942
PTV^Inf,PTV_Mediastinum,99.89870142936707
r scv node,CTVn_A_Subclavian_R,114.78121614456177
PTV 6235,PTV_Lungs-PTV,67.86204719543457
Peritoneum,Peritoneum,62.52958631515503
Lung_R_partial,GTV_Lung_R,91.7275812625885
Rectum_P0_P,Rectum,66.49819540977478
CTV-C7,CTV_SpinalCord_Cerv,77.71477222442627
GTVgrossLN,GTVn_LN_Neck_IA_L,104.40526962280273
CTV30Gy,CTV_30000,92.78626823425293
GTV_Iliac_R,GTV_A_Iliac_R,63.103779554367065
GTV 15 Gy,GTVp_Lungs-GTV_15000,109.86413669586182
CTVn^odal_2,CTVn_LN_Mediastinals,109.17207646369934
GTV^Scapula,GTVp_Chestwall,92.16135692596436
